Loan #,Borrowing Entity,Address,County,City,State,Zip,Origination Date,Loan Amount,Current Balance,Current Rehab Amount,Next Due Payment,ARV,Total Cost,LTV,LTC,Rate,Credit
4153,"New Day Custom Homes, LLC",209 Ciela Vista,Gaudalupe,Seguin,TX,78155,11/7/2019,"$289,500.00 ","$185,000.00 ","$104,500.00 ",5/1/2020,"$415,000.00 ","$343,581.00 ",69.76%,84.26%,10.25%,696
4158,"360 Degree Construction, LLC",514 POWELL B,Travis,AUSTIN,TX,78745,11/15/2019,"$901,700.00 ","$535,000.00 ","$366,700.00 ",5/1/2020,"$1,205,000.00 ","$935,343.00 ",74.83%,96.40%,10.00%,736
4198,MKM Superior Homes,24530 Bentwood Dr,Waller,Hockley,TX,77447,11/19/2019,"$180,600.00 ","$133,000.00 ","$47,600.00 ",5/1/2020,"$238,500.00 ","$207,075.00 ",75.72%,87.21%,12.00%,674
4181,"AAA Home Builder, LLC",1504 San Saba Drive,Dallas,Dallas,TX,75218,11/20/2019,"$490,000.00 ","$367,000.00 ","$123,000.00 ",5/1/2020,"$700,000.00 ","$563,958.00 ",70.00%,86.89%,12.50%,668
4146,"LTH Builders Fund II, LLC",1510 & 1514 Laird Street UNIT A,Harris,Houston,TX,77008,12/10/2019,"$1,872,500.00 ","$670,000.00 ","$1,202,500.00 ",5/1/2020,"$2,675,000.00 ","$2,071,029.00 ",70.00%,90.41%,9.25%,759
4207,"Brownstone Living, LLC",1433 Alexander LOT 766,Harris,Houston,TX,77008,12/30/2019,"$819,000.00 ","$456,000.00 ","$363,000.00 ",5/1/2020,"$1,170,000.00 ","$918,481.00 ",70.00%,89.17%,12.50%,785/598/633
4243,"RECreate Austin, LLC",5521 Woodview Lot A,Travis,Austin,TX,78756,1/8/2020,"$810,000.00 ","$701,000.00 ","$109,000.00 ",5/1/2020,"$1,080,000.00 ","$883,698.00 ",75.00%,91.66%,12.00%,703/744
4240,"713 Brownlee Holdings, LLC",713 Brownlee circle,Travis,Austin,TX,78746,1/15/2020,"$525,000.00 ","$525,000.00 ",$ -,5/1/2020,"$910,000.00 ","$958,243.00 ",57.69%,54.79%,14.00%,568
4272,"Skymark Management, LLC",4613 Greenlee Dr,Bell,Killeen,TX,76542,1/31/2020,"$100,100.00 ","$100,100.00 ",$ -,5/1/2020,"$143,000.00 ","$103,592.00 ",70.00%,96.63%,12.00%,741
4242,"Skymark Management, LLC",202 Patterson,Coryell,Copperas Cove,TX,76522,1/31/2020,"$95,900.00 ","$95,900.00 ",$ -,5/1/2020,"$137,000.00 ","$99,201.00 ",70.00%,96.67%,12.00%,741
4280,"Askeaton Realty, LLC",Central IDZ,BEXAR,SAN ANTONIO,TX,78209,2/7/2020,"$2,689,000.00 ","$927,000.00 ","$1,762,000.00 ",5/1/2020,"$3,908,604.00 ","$3,113,025.00 ",68.80%,86.38%,13.50%,764
4312,"Lawless Ventures, LLC",3020 Geronimo Trl,Travis,Austin,TX,78734,3/3/2020,"$184,400.00 ","$165,000.00 ","$19,400.00 ",5/1/2020,"$275,000.00 ","$215,468.00 ",67.05%,85.58%,10.75%,643
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
